[2026-06-13T23:14:42.515583] ingest | what-is-software-testing.md | ok | wiki/what-is-software-testing.md
[2026-09-22T00:50:06.227846] ingest | archestra-skills-aren-t-prompts-code-sandbox-2026.md | ok | wiki/archestra-skills-aren-t-prompts-code-sandbox-2026.md
[2026-09-22T00:50:37.188517] update-index | 372 topics | ok | 
[2026-09-22T00:50:49.459242] sync-links | 372 pages | ok | 
[2026-09-22T01:03:02.922855] ingest | archestra-debug-harness-weak-models-2026.md | ok | wiki/archestra-debug-harness-weak-models-2026.md
[2026-09-22T01:03:28.643574] update-index | 373 topics | ok | 
[2026-09-22T01:07:26.688620] ingest | the-batch-371-deeplearning-ai-2026.md | ok | wiki/the-batch-371-deeplearning-ai-2026.md
[2026-09-22T01:07:36.444806] update-index | 374 topics | ok | 
[2026-09-22T01:34:59.361817] update-index | 376 topics | ok | 
[2026-09-22T01:34:59.362605] wiki-log | update-index | ok | 376 topics, 235 raw
[2026-09-22T01:35:06.320917] update-index | 376 topics | ok | 
[2026-09-22T01:35:06.321318] wiki-log | update-index | ok | 376 topics, 235 raw
[2026-09-22T01:46:32.360495] ingest | typesafe-jev-judgment-service-gates-2026.md | ok | wiki/typesafe-jev-judgment-service-gates-2026.md
[2026-09-22T01:46:32.361508] wiki-log | ingest | ok | raw/typesafe-jev-judgment-service-gates-2026.md → wiki/typesafe-jev-judgment-ser
[2026-09-22T01:46:32.557305] wiki-log | backlinks | ok | 5 related pages for wiki/typesafe-jev-judgment-service-gates-2026.md
[2026-09-22T13:22:07.343989] ingest | flowscout-akymenko-kanaris-thread-2026-09-22.md | ok | wiki/flowscout-akymenko-kanaris-thread-2026-09-22.md
[2026-09-22T13:22:07.345180] wiki-log | ingest | ok | raw/flowscout-akymenko-kanaris-thread-2026-09-22.md → wiki/flowscout-akymenko-ka
[2026-09-22T13:22:07.528484] wiki-log | backlinks | ok | 5 related pages for wiki/flowscout-akymenko-kanaris-thread-2026-09-22.md
[2026-09-22T13:24:31.610184] update-index | 378 topics | ok | 
[2026-09-22T13:24:31.619321] wiki-log | update-index | ok | 378 topics, 236 raw
[2026-09-22T14:30:29.000802] ingest | qodo-ai-gave-teams-velocity-the-governance-harness-comes-next.md | ok | wiki/qodo-ai-gave-teams-velocity-the-governance-harness-comes-next.md
[2026-09-22T14:30:29.001629] wiki-log | ingest | ok | raw/qodo-ai-gave-teams-velocity-the-governance-harness-comes-next.md → wiki/qodo
[2026-09-22T14:30:29.198896] wiki-log | backlinks | ok | 5 related pages for wiki/qodo-ai-gave-teams-velocity-the-governance-harness-come
[2026-09-22T14:30:38.650227] ingest | qodo-why-your-ai-coding-agent-shouldnt-review-its-own-code-the-case-for-an-indep | ok | wiki/qodo-why-your-ai-coding-agent-shouldnt-review-its-own-code-the-case-for-an-
[2026-09-22T14:30:38.651184] wiki-log | ingest | ok | raw/qodo-why-your-ai-coding-agent-shouldnt-review-its-own-code-the-case-for-an-i
[2026-09-22T14:30:38.963637] wiki-log | backlinks | ok | 5 related pages for wiki/qodo-why-your-ai-coding-agent-shouldnt-review-its-own-c
[2026-09-22T14:30:42.993073] ingest | qodo-ai-slop-is-a-governance-problem-here-are-4-principles-to-fix-it.md | ok | wiki/qodo-ai-slop-is-a-governance-problem-here-are-4-principles-to-fix-it.md
[2026-09-22T14:30:42.993605] wiki-log | ingest | ok | raw/qodo-ai-slop-is-a-governance-problem-here-are-4-principles-to-fix-it.md → wi
[2026-09-22T14:30:43.221488] wiki-log | backlinks | ok | 5 related pages for wiki/qodo-ai-slop-is-a-governance-problem-here-are-4-princip
[2026-09-22T14:30:46.474209] ingest | qodo-building-the-verification-layer-how-implementing-code-standards-unlock-ai-c | ok | wiki/qodo-building-the-verification-layer-how-implementing-code-standards-unlock
[2026-09-22T14:30:46.474711] wiki-log | ingest | ok | raw/qodo-building-the-verification-layer-how-implementing-code-standards-unlock-
[2026-09-22T14:30:46.706106] wiki-log | backlinks | ok | 5 related pages for wiki/qodo-building-the-verification-layer-how-implementing-c
[2026-09-22T14:31:21.398299] ingest | qodo-when-claude-code-reviews-its-own-pr-who-reviews-claude.md | ok | wiki/qodo-when-claude-code-reviews-its-own-pr-who-reviews-claude.md
[2026-09-22T14:31:21.398782] wiki-log | ingest | ok | raw/qodo-when-claude-code-reviews-its-own-pr-who-reviews-claude.md → wiki/qodo-w
[2026-09-22T14:31:21.777188] wiki-log | backlinks | ok | 5 related pages for wiki/qodo-when-claude-code-reviews-its-own-pr-who-reviews-cl
[2026-09-22T14:35:53.498270] update-index | 384 topics | ok | 
[2026-09-22T14:35:53.499460] wiki-log | update-index | ok | 384 topics, 241 raw
[2026-09-22T14:36:28.909050] sync-links | 384 pages | ok | 
[2026-09-22T14:36:28.910509] wiki-log | sync-links | ok | 384 pages
[2026-09-22T14:49:46.376965] ingest | qodo-software-map-risk-across-repos-2026.md | ok | wiki/qodo-software-map-risk-across-repos-2026.md
[2026-09-22T14:49:46.378168] wiki-log | ingest | ok | raw/qodo-software-map-risk-across-repos-2026.md → wiki/qodo-software-map-risk-ac
[2026-09-22T14:49:46.564712] wiki-log | backlinks | ok | 5 related pages for wiki/qodo-software-map-risk-across-repos-2026.md
[2026-09-22T14:49:54.166877] update-index | 386 topics | ok | 
[2026-09-22T14:49:54.167268] wiki-log | update-index | ok | 386 topics, 242 raw
[2026-09-22T14:50:06.163148] sync-links | 386 pages | ok | 
[2026-09-22T14:50:06.163619] wiki-log | sync-links | ok | 386 pages
[2026-09-22T14:51:49.004326] update-index | 386 topics | ok | 
[2026-09-22T14:51:49.004920] wiki-log | update-index | ok | 386 topics, 242 raw
[2026-09-22T20:57:32.952597] update-index | 390 topics | ok | 
[2026-09-22T20:57:32.953691] wiki-log | update-index | ok | 390 topics, 242 raw
[2026-09-22T23:48:01.310159] update-index | 390 topics | ok | 
[2026-09-22T23:48:01.311582] wiki-log | update-index | ok | 390 topics, 242 raw
[2026-09-23T00:05:28.892440] update-index | 391 topics | ok | 
[2026-09-23T00:05:28.893779] wiki-log | update-index | ok | 391 topics, 242 raw
[2026-09-23T17:20:15.454210] ingest | klain-one-loop-after-another-2026.md | ok | wiki/klain-one-loop-after-another-2026.md
[2026-09-23T17:20:15.455115] wiki-log | ingest | ok | raw/klain-one-loop-after-another-2026.md → wiki/klain-one-loop-after-another-202
[2026-09-23T17:20:15.641470] wiki-log | backlinks | ok | 5 related pages for wiki/klain-one-loop-after-another-2026.md
[2026-09-23T17:20:18.973809] ingest | klain-turns-out-testing-is-hard-2026.md | ok | wiki/klain-turns-out-testing-is-hard-2026.md
[2026-09-23T17:20:18.974302] wiki-log | ingest | ok | raw/klain-turns-out-testing-is-hard-2026.md → wiki/klain-turns-out-testing-is-ha
[2026-09-23T17:20:19.160120] wiki-log | backlinks | ok | 5 related pages for wiki/klain-turns-out-testing-is-hard-2026.md
[2026-09-23T17:20:23.367724] ingest | mot-agentic-test-execution-2026.md | ok | wiki/mot-agentic-test-execution-2026.md
[2026-09-23T17:20:23.368198] wiki-log | ingest | ok | raw/mot-agentic-test-execution-2026.md → wiki/mot-agentic-test-execution-2026.md
[2026-09-23T17:20:23.653320] wiki-log | backlinks | ok | 5 related pages for wiki/mot-agentic-test-execution-2026.md
[2026-09-23T17:20:27.327675] ingest | infoq-dpact-framework-ai-agents-2026.md | ok | wiki/infoq-dpact-framework-ai-agents-2026.md
[2026-09-23T17:20:27.328158] wiki-log | ingest | ok | raw/infoq-dpact-framework-ai-agents-2026.md → wiki/infoq-dpact-framework-ai-agen
[2026-09-23T17:20:27.574645] wiki-log | backlinks | ok | 5 related pages for wiki/infoq-dpact-framework-ai-agents-2026.md
[2026-09-23T17:20:40.726511] ingest | verge-un-ai-safeguards-cant-wait-2026.md | ok | wiki/verge-un-ai-safeguards-cant-wait-2026.md
[2026-09-23T17:20:40.727894] wiki-log | ingest | ok | raw/verge-un-ai-safeguards-cant-wait-2026.md → wiki/verge-un-ai-safeguards-cant-
[2026-09-23T17:20:40.990703] wiki-log | backlinks | ok | 5 related pages for wiki/verge-un-ai-safeguards-cant-wait-2026.md
[2026-09-23T17:20:54.681833] ingest | infoq-adk-kotlin-1-0-2026.md | ok | wiki/infoq-adk-kotlin-1-0-2026.md
[2026-09-23T17:20:54.683157] wiki-log | ingest | ok | raw/infoq-adk-kotlin-1-0-2026.md → wiki/infoq-adk-kotlin-1-0-2026.md
[2026-09-23T17:20:54.879933] wiki-log | backlinks | ok | 5 related pages for wiki/infoq-adk-kotlin-1-0-2026.md
[2026-09-23T17:22:20.156780] update-index | 397 topics | ok | 
[2026-09-23T17:22:20.157631] wiki-log | update-index | ok | 397 topics, 248 raw
[2026-09-23T17:25:33.103852] ingest | arxiv-rebuild-dossier-mechanically-enforced-specs-2026.md | ok | wiki/arxiv-rebuild-dossier-mechanically-enforced-specs-2026.md
[2026-09-23T17:25:33.108373] wiki-log | ingest | ok | raw/arxiv-rebuild-dossier-mechanically-enforced-specs-2026.md → wiki/arxiv-rebui
[2026-09-23T17:25:33.934335] wiki-log | backlinks | ok | 5 related pages for wiki/arxiv-rebuild-dossier-mechanically-enforced-specs-2026.
[2026-09-23T17:25:38.245089] ingest | arxiv-law-of-stop-interruptibility-2026.md | ok | wiki/arxiv-law-of-stop-interruptibility-2026.md
[2026-09-23T17:25:38.245621] wiki-log | ingest | ok | raw/arxiv-law-of-stop-interruptibility-2026.md → wiki/arxiv-law-of-stop-interrup
[2026-09-23T17:25:38.540245] wiki-log | backlinks | ok | 5 related pages for wiki/arxiv-law-of-stop-interruptibility-2026.md
[2026-09-23T17:25:42.286770] ingest | arxiv-connect-the-dots-long-lifecycle-agents-2026.md | ok | wiki/arxiv-connect-the-dots-long-lifecycle-agents-2026.md
[2026-09-23T17:25:42.287856] wiki-log | ingest | ok | raw/arxiv-connect-the-dots-long-lifecycle-agents-2026.md → wiki/arxiv-connect-th
[2026-09-23T17:25:42.640681] wiki-log | backlinks | ok | 5 related pages for wiki/arxiv-connect-the-dots-long-lifecycle-agents-2026.md
[2026-09-23T17:25:46.415703] ingest | infoq-google-ax-orchestrator-2026.md | ok | wiki/infoq-google-ax-orchestrator-2026.md
[2026-09-23T17:25:46.416242] wiki-log | ingest | ok | raw/infoq-google-ax-orchestrator-2026.md → wiki/infoq-google-ax-orchestrator-202
[2026-09-23T17:25:46.640325] wiki-log | backlinks | ok | 5 related pages for wiki/infoq-google-ax-orchestrator-2026.md
[2026-09-23T17:26:00.052390] ingest | verge-rabbit-os3-agent-2026.md | ok | wiki/verge-rabbit-os3-agent-2026.md
[2026-09-23T17:26:00.053451] wiki-log | ingest | ok | raw/verge-rabbit-os3-agent-2026.md → wiki/verge-rabbit-os3-agent-2026.md
[2026-09-23T17:26:00.316020] wiki-log | backlinks | ok | 5 related pages for wiki/verge-rabbit-os3-agent-2026.md
[2026-09-23T17:26:14.203474] ingest | mot-ai-generated-tests-mocks-2026.md | ok | wiki/mot-ai-generated-tests-mocks-2026.md
[2026-09-23T17:26:14.204013] wiki-log | ingest | ok | raw/mot-ai-generated-tests-mocks-2026.md → wiki/mot-ai-generated-tests-mocks-202
[2026-09-23T17:26:14.423421] wiki-log | backlinks | ok | 5 related pages for wiki/mot-ai-generated-tests-mocks-2026.md
[2026-09-23T17:26:19.529396] update-index | 403 topics | ok | 
[2026-09-23T17:26:19.529872] wiki-log | update-index | ok | 403 topics, 254 raw
[2026-09-23T17:50:50.218309] ingest | bach-responsible-quality-engineering-2026.md | ok | wiki/bach-responsible-quality-engineering-2026.md
[2026-09-23T17:50:50.219706] wiki-log | ingest | ok | raw/bach-responsible-quality-engineering-2026.md → wiki/bach-responsible-quality
[2026-09-23T17:50:50.429307] wiki-log | backlinks | ok | 5 related pages for wiki/bach-responsible-quality-engineering-2026.md
[2026-09-23T17:50:53.277563] update-index | 404 topics | ok | 
[2026-09-23T17:50:53.278061] wiki-log | update-index | ok | 404 topics, 255 raw
[2026-09-23T18:04:40.488018] ingest | bach-responsibility-human-moat-prw-v2-2026.md | ok | wiki/bach-responsibility-human-moat-prw-v2-2026.md
[2026-09-23T18:04:40.489286] wiki-log | ingest | ok | raw/bach-responsibility-human-moat-prw-v2-2026.md → wiki/bach-responsibility-hum
[2026-09-23T18:04:40.701693] wiki-log | backlinks | ok | 5 related pages for wiki/bach-responsibility-human-moat-prw-v2-2026.md
[2026-09-23T18:04:44.145380] ingest | bach-perfect-job-ai-quality-engineering-2026.md | ok | wiki/bach-perfect-job-ai-quality-engineering-2026.md
[2026-09-23T18:04:44.146099] wiki-log | ingest | ok | raw/bach-perfect-job-ai-quality-engineering-2026.md → wiki/bach-perfect-job-ai-q
[2026-09-23T18:04:44.351347] wiki-log | backlinks | ok | 5 related pages for wiki/bach-perfect-job-ai-quality-engineering-2026.md
[2026-09-23T18:04:47.451771] ingest | bach-10x-claims-skeptical-inquiry-2026.md | ok | wiki/bach-10x-claims-skeptical-inquiry-2026.md
[2026-09-23T18:04:47.452242] wiki-log | ingest | ok | raw/bach-10x-claims-skeptical-inquiry-2026.md → wiki/bach-10x-claims-skeptical-i
[2026-09-23T18:04:47.685961] wiki-log | backlinks | ok | 5 related pages for wiki/bach-10x-claims-skeptical-inquiry-2026.md
[2026-09-23T18:04:55.881938] ingest | bach-everyone-not-responsible-quality-2026.md | ok | wiki/bach-everyone-not-responsible-quality-2026.md
[2026-09-23T18:04:55.882490] wiki-log | ingest | ok | raw/bach-everyone-not-responsible-quality-2026.md → wiki/bach-everyone-not-respo
[2026-09-23T18:04:56.081552] wiki-log | backlinks | ok | 5 related pages for wiki/bach-everyone-not-responsible-quality-2026.md
[2026-09-23T18:05:30.050630] ingest | bach-ai-writing-policy-psa-2026.md | ok | wiki/bach-ai-writing-policy-psa-2026.md
[2026-09-23T18:05:30.051090] wiki-log | ingest | ok | raw/bach-ai-writing-policy-psa-2026.md → wiki/bach-ai-writing-policy-psa-2026.md
[2026-09-23T18:05:30.249806] wiki-log | backlinks | ok | 5 related pages for wiki/bach-ai-writing-policy-psa-2026.md
[2026-09-23T18:05:33.165698] ingest | bach-slop-coding-responsible-testers-2025.md | ok | wiki/bach-slop-coding-responsible-testers-2025.md
[2026-09-23T18:05:33.166280] wiki-log | ingest | ok | raw/bach-slop-coding-responsible-testers-2025.md → wiki/bach-slop-coding-respons
[2026-09-23T18:05:33.367171] wiki-log | backlinks | ok | 5 related pages for wiki/bach-slop-coding-responsible-testers-2025.md
[2026-09-23T18:05:46.322460] ingest | bach-kpis-not-quality-2026.md | ok | wiki/bach-kpis-not-quality-2026.md
[2026-09-23T18:05:46.323358] wiki-log | ingest | ok | raw/bach-kpis-not-quality-2026.md → wiki/bach-kpis-not-quality-2026.md
[2026-09-23T18:05:46.546288] wiki-log | backlinks | ok | 5 related pages for wiki/bach-kpis-not-quality-2026.md
[2026-09-23T18:05:53.953038] update-index | 412 topics | ok | 
[2026-09-23T18:05:53.953553] wiki-log | update-index | ok | 412 topics, 262 raw
